method,attack,seed,all,rsna,kermany,asr,auroc_kerm_a,auroc_kerm_b,auroc_rsna_a,auroc_rsna_b,auroc_rsna_c
fedavg,False,0,0.9830620540774708,0.9771365417177349,0.9876507258568994,0.09510086455331412,0.9876507258568994,0.9876507258568994,0.9771365417177349,0.9771365417177349,0.9771365417177349
fedavg,False,1,0.9799327751665378,0.9740556803234361,0.9906418746449809,0.06051873198847262,0.9906418746449809,0.9906418746449809,0.9740556803234361,0.9740556803234361,0.9740556803234361
fedavg,False,2,0.9816898447408046,0.9752510904397891,0.9861192001553096,0.06532180595581172,0.9861192001553096,0.9861192001553096,0.9752510904397891,0.9752510904397891,0.9752510904397891
fedavg,True,0,0.9827077960875538,0.9757838532257419,0.9870719098053596,0.6018251681075889,0.9870719098053596,0.9870719098053596,0.9757838532257419,0.9757838532257419,0.9757838532257419
fedavg,True,1,0.9815614063109344,0.9764309144108083,0.9895561451569993,0.4562920268972142,0.9895561451569993,0.9895561451569993,0.9764309144108083,0.9764309144108083,0.9764309144108083
fedavg,True,2,0.9809797360789351,0.9739154050154327,0.9889449729286653,0.5989433237271854,0.9889449729286653,0.9889449729286653,0.9739154050154327,0.9739154050154327,0.9739154050154327
clipping,False,0,0.9814591333716486,0.9749247260026498,0.9868849630061045,0.0989433237271854,0.9868849630061045,0.9868849630061045,0.9749247260026498,0.9749247260026498,0.9749247260026498
clipping,False,1,0.9804348112967571,0.9758804400960674,0.9904800937610101,0.049951969260326606,0.9904800937610101,0.9904800937610101,0.9758804400960674,0.9758804400960674,0.9758804400960674
clipping,False,2,0.9812605031692097,0.9742795540473205,0.9875716329802915,0.07829010566762729,0.9875716329802915,0.9875716329802915,0.9742795540473205,0.9742795540473205,0.9742795540473205
clipping,True,0,0.9828322528123352,0.9758362793509552,0.9880857366782431,0.6690682036503363,0.9880857366782431,0.9880857366782431,0.9758362793509552,0.9758362793509552,0.9758362793509552
clipping,True,1,0.9823544482016572,0.9765622158775591,0.9892361785198127,0.46253602305475505,0.9892361785198127,0.9892361785198127,0.9765622158775591,0.9765622158775591,0.9765622158775591
clipping,True,2,0.9813637999755183,0.9743126155677252,0.988657362468273,0.5326609029779059,0.988657362468273,0.988657362468273,0.9743126155677252,0.9743126155677252,0.9743126155677252
trimmed,False,0,0.9832463501415893,0.9767714480709784,0.9876830820336936,0.10758885686839577,0.9876830820336936,0.9876830820336936,0.9767714480709784,0.9767714480709784,0.9767714480709784
trimmed,False,1,0.9803164977741131,0.9750087967259649,0.9907137772600789,0.04514889529298751,0.9907137772600789,0.9907137772600789,0.9750087967259649,0.9750087967259649,0.9750087967259649
trimmed,False,2,0.9815863204084911,0.9746914061300781,0.9869928169287516,0.08645533141210375,0.9869928169287516,0.9869928169287516,0.9746914061300781,0.9746914061300781,0.9746914061300781
trimmed,True,0,0.9825132613532063,0.9752978488757903,0.988887450836587,0.6729106628242075,0.988887450836587,0.988887450836587,0.9752978488757903,0.9752978488757903,0.9752978488757903
trimmed,True,1,0.981408850124525,0.9749780967427318,0.98991565823249,0.3414985590778098,0.98991565823249,0.98991565823249,0.9749780967427318,0.9749780967427318,0.9749780967427318
trimmed,True,2,0.981948541808586,0.9742734140506738,0.9896316429028523,0.2838616714697406,0.9896316429028523,0.9896316429028523,0.9742734140506738,0.9742734140506738,0.9742734140506738
invariant,False,0,0.9831130199026098,0.9770562494538946,0.9881073074627724,0.07780979827089338,0.9881073074627724,0.9881073074627724,0.9770562494538946,0.9770562494538946,0.9770562494538946
invariant,False,1,0.9793315376981012,0.9740226188030312,0.9885818647224199,0.07300672430355427,0.9885818647224199,0.9885818647224199,0.9740226188030312,0.9740226188030312,0.9740226188030312
invariant,False,2,0.9818569625915393,0.9747582376320392,0.9878376726561545,0.07348703170028818,0.9878376726561545,0.9878376726561545,0.9747582376320392,0.9747582376320392,0.9747582376320392
invariant,True,0,0.983513920723569,0.976847961875344,0.9889701388439498,0.9346781940441883,0.9889701388439498,0.9889701388439498,0.976847961875344,0.976847961875344,0.976847961875344
invariant,True,1,0.9807608560620434,0.9753677503760748,0.9877118430797329,0.6902017291066282,0.9877118430797329,0.9877118430797329,0.9753677503760748,0.9753677503760748,0.9753677503760748
invariant,True,2,0.9819722045131147,0.9750343013274201,0.9865793768919375,0.22574447646493756,0.9865793768919375,0.9865793768919375,0.9750343013274201,0.9750343013274201,0.9750343013274201
