attack,poison_frac,method,seed,auroc,asr
stealthy,0.05,fedavg,0,0.9827396497282657,0.9385206532180596
stealthy,0.05,fedavg,1,0.9814127180666115,0.8194044188280499
stealthy,0.05,fedavg,2,0.9813835947379606,0.8765609990393852
stealthy,0.05,clipping,0,0.9823221395089352,0.952449567723343
stealthy,0.05,clipping,1,0.9822618451175877,0.803073967339097
stealthy,0.05,clipping,2,0.9800151395803783,0.856388088376561
stealthy,0.05,trimmed,0,0.9827981239115724,0.9169068203650336
stealthy,0.05,trimmed,1,0.9808283175225514,0.7867435158501441
stealthy,0.05,trimmed,2,0.9819208973989682,0.770893371757925
stealthy,0.05,invariant,0,0.9824461411817064,0.8731988472622478
stealthy,0.05,invariant,1,0.9819137303298081,0.8131604226705091
stealthy,0.05,invariant,2,0.9828139369689258,0.8097982708933718
loud,0.75,fedavg,0,0.9801368659930987,0.10038424591738712
loud,0.75,fedavg,1,0.9790356401284884,0.012487992315081652
loud,0.75,fedavg,2,0.9805444788312081,0.027857829010566763
loud,0.75,clipping,0,0.9811267178782199,0.06243996157540826
loud,0.75,clipping,1,0.9775106470794079,0.020653218059558116
loud,0.75,clipping,2,0.980192496101342,0.03073967339097022
loud,0.75,trimmed,0,0.9790378016255368,0.15081652257444764
loud,0.75,trimmed,1,0.9804543785331944,0.9740634005763689
loud,0.75,trimmed,2,0.98009352228913,0.03650336215177714
loud,0.75,invariant,0,0.9808310478346122,0.09173871277617675
loud,0.75,invariant,1,0.9759409451703283,0.007684918347742555
loud,0.75,invariant,2,0.9824188380610963,0.6229586935638809
