method,attack,seed,round,client,is_attacker,norm
fedavg,False,0,1,rsna_c,False,27.61140251159668
fedavg,False,0,1,rsna_b,False,29.80800437927246
fedavg,False,0,1,kerm_b,False,28.477083206176758
fedavg,False,0,1,rsna_a,False,29.020931243896484
fedavg,False,0,2,kerm_a,False,25.9764461517334
fedavg,False,0,2,rsna_b,False,36.03101348876953
fedavg,False,0,2,rsna_a,False,41.22233200073242
fedavg,False,0,2,rsna_c,False,32.9760856628418
fedavg,False,0,3,rsna_a,False,41.090782165527344
fedavg,False,0,3,kerm_b,False,39.962589263916016
fedavg,False,0,3,rsna_c,False,38.38793182373047
fedavg,False,0,3,rsna_b,False,44.12520217895508
fedavg,False,0,4,kerm_a,False,54.184112548828125
fedavg,False,0,4,kerm_b,False,42.867000579833984
fedavg,False,0,4,rsna_a,False,55.572593688964844
fedavg,False,0,4,rsna_c,False,41.676692962646484
fedavg,False,0,5,rsna_a,False,46.0478401184082
fedavg,False,0,5,kerm_a,False,41.21616744995117
fedavg,False,0,5,rsna_b,False,47.470157623291016
fedavg,False,0,5,kerm_b,False,37.44906997680664
fedavg,False,0,6,rsna_b,False,51.66684341430664
fedavg,False,0,6,kerm_b,False,60.16851806640625
fedavg,False,0,6,rsna_a,False,60.59617233276367
fedavg,False,0,6,kerm_a,False,79.8372802734375
fedavg,False,0,7,rsna_c,False,41.27606964111328
fedavg,False,0,7,kerm_a,False,42.843711853027344
fedavg,False,0,7,rsna_a,False,42.325111389160156
fedavg,False,0,7,rsna_b,False,47.54997253417969
fedavg,False,0,8,kerm_b,False,48.14369201660156
fedavg,False,0,8,rsna_a,False,47.29591751098633
fedavg,False,0,8,rsna_b,False,49.79234313964844
fedavg,False,0,8,rsna_c,False,62.87565612792969
fedavg,False,0,9,kerm_a,False,70.29029083251953
fedavg,False,0,9,rsna_a,False,53.34852600097656
fedavg,False,0,9,rsna_b,False,45.44691848754883
fedavg,False,0,9,rsna_c,False,40.99901580810547
fedavg,False,0,10,kerm_a,False,66.87091827392578
fedavg,False,0,10,rsna_a,False,52.227622985839844
fedavg,False,0,10,rsna_c,False,45.68265914916992
fedavg,False,0,10,rsna_b,False,40.37052536010742
fedavg,False,0,11,rsna_a,False,48.69873809814453
fedavg,False,0,11,kerm_a,False,73.94515991210938
fedavg,False,0,11,rsna_c,False,41.90254592895508
fedavg,False,0,11,kerm_b,False,58.967193603515625
fedavg,False,0,12,rsna_a,False,45.996803283691406
fedavg,False,0,12,rsna_c,False,42.69062805175781
fedavg,False,0,12,kerm_b,False,82.15640258789062
fedavg,False,0,12,rsna_b,False,46.79787063598633
fedavg,False,0,13,rsna_b,False,45.72896194458008
fedavg,False,0,13,kerm_b,False,52.590171813964844
fedavg,False,0,13,rsna_a,False,51.255123138427734
fedavg,False,0,13,rsna_c,False,42.43708038330078
fedavg,False,0,14,kerm_a,False,67.87777709960938
fedavg,False,0,14,rsna_c,False,44.307674407958984
fedavg,False,0,14,kerm_b,False,61.4168701171875
fedavg,False,0,14,rsna_b,False,54.12773895263672
fedavg,False,0,15,kerm_b,False,47.47319793701172
fedavg,False,0,15,rsna_b,False,54.499969482421875
fedavg,False,0,15,kerm_a,False,72.50189208984375
fedavg,False,0,15,rsna_a,False,66.77454376220703
fedavg,False,0,16,rsna_b,False,38.403987884521484
fedavg,False,0,16,kerm_b,False,105.42758178710938
fedavg,False,0,16,rsna_c,False,58.9675407409668
fedavg,False,0,16,kerm_a,False,76.15624237060547
fedavg,False,0,17,rsna_c,False,47.90827178955078
fedavg,False,0,17,rsna_a,False,60.020721435546875
fedavg,False,0,17,kerm_b,False,50.132049560546875
fedavg,False,0,17,rsna_b,False,47.426048278808594
fedavg,False,0,18,kerm_b,False,59.72789001464844
fedavg,False,0,18,rsna_c,False,45.976016998291016
fedavg,False,0,18,rsna_b,False,45.42163848876953
fedavg,False,0,18,kerm_a,False,79.93346405029297
fedavg,False,0,19,kerm_b,False,51.14986801147461
fedavg,False,0,19,rsna_a,False,77.4842300415039
fedavg,False,0,19,rsna_b,False,40.16270446777344
fedavg,False,0,19,rsna_c,False,40.877140045166016
fedavg,False,0,20,rsna_b,False,55.07985305786133
fedavg,False,0,20,kerm_a,False,83.56654357910156
fedavg,False,0,20,rsna_c,False,41.100746154785156
fedavg,False,0,20,rsna_a,False,63.83150863647461
fedavg,False,0,21,rsna_b,False,63.07529067993164
fedavg,False,0,21,kerm_b,False,88.46881866455078
fedavg,False,0,21,rsna_c,False,56.375709533691406
fedavg,False,0,21,rsna_a,False,54.47559356689453
fedavg,False,0,22,kerm_b,False,55.631797790527344
fedavg,False,0,22,rsna_c,False,49.19050598144531
