method,attack,seed,all,rsna,kermany,asr,auroc_kerm_a,auroc_kerm_b,auroc_rsna_a,auroc_rsna_b,auroc_rsna_c
fedavg,False,0,0.9830620540774708,0.9771365417177348,0.9876507258568994,0.0951008645533141,0.9876507258568994,0.9876507258568994,0.9771365417177348,0.9771365417177348,0.9771365417177348
fedavg,False,1,0.9799327751665378,0.974055680323436,0.9906418746449808,0.0605187319884726,0.9906418746449808,0.9906418746449808,0.974055680323436,0.974055680323436,0.974055680323436
fedavg,False,2,0.9816898447408046,0.9752510904397892,0.9861192001553096,0.0653218059558117,0.9861192001553096,0.9861192001553096,0.9752510904397892,0.9752510904397892,0.9752510904397892
fedavg,True,0,0.9827396497282656,0.97667509735437,0.9883409909618412,0.9385206532180596,0.9883409909618412,0.9883409909618412,0.97667509735437,0.97667509735437,0.97667509735437
fedavg,True,1,0.9814127180666116,0.9766835988881885,0.9901349612085392,0.8194044188280499,0.9901349612085392,0.9901349612085392,0.9766835988881885,0.9766835988881885,0.9766835988881885
fedavg,True,2,0.9813835947379606,0.9745837200350452,0.9888694751828124,0.8765609990393852,0.9888694751828124,0.9888694751828124,0.9745837200350452,0.9745837200350452,0.9745837200350452
clipping,False,0,0.9814591333716486,0.9749247260026498,0.9868849630061044,0.0989433237271854,0.9868849630061044,0.9868849630061044,0.9749247260026498,0.9749247260026498,0.9749247260026498
clipping,False,1,0.9804348112967572,0.9758804400960674,0.99048009376101,0.0499519692603266,0.99048009376101,0.99048009376101,0.9758804400960674,0.9758804400960674,0.9758804400960674
clipping,False,2,0.9812605031692097,0.9742795540473204,0.9875716329802916,0.0782901056676272,0.9875716329802916,0.9875716329802916,0.9742795540473204,0.9742795540473204,0.9742795540473204
clipping,True,0,0.9823221395089352,0.9766240881514596,0.9875860135033112,0.952449567723343,0.9875860135033112,0.9875860135033112,0.9766240881514596,0.9766240881514596,0.9766240881514596
clipping,True,1,0.9822618451175876,0.9771148155757544,0.9896963552564406,0.803073967339097,0.9896963552564406,0.9896963552564406,0.9771148155757544,0.9771148155757544,0.9771148155757544
clipping,True,2,0.9800151395803784,0.9735762882775656,0.9885710793301552,0.856388088376561,0.9885710793301552,0.9885710793301552,0.9735762882775656,0.9735762882775656,0.9735762882775656
trimmed,False,0,0.9832463501415892,0.9767714480709784,0.9876830820336936,0.1075888568683957,0.9876830820336936,0.9876830820336936,0.9767714480709784,0.9767714480709784,0.9767714480709784
trimmed,False,1,0.9803164977741132,0.9750087967259649,0.9907137772600788,0.0451488952929875,0.9907137772600788,0.9907137772600788,0.9750087967259649,0.9750087967259649,0.9750087967259649
trimmed,False,2,0.9815863204084913,0.974691406130078,0.9869928169287516,0.0864553314121037,0.9869928169287516,0.9869928169287516,0.974691406130078,0.974691406130078,0.974691406130078
trimmed,True,0,0.9827981239115724,0.9769896541056504,0.9879670973633312,0.9169068203650336,0.9879670973633312,0.9879670973633312,0.9769896541056504,0.9769896541056504,0.9769896541056504
trimmed,True,1,0.9808283175225514,0.9757791301513982,0.9903974057536472,0.7867435158501441,0.9903974057536472,0.9903974057536472,0.9757791301513982,0.9757791301513982,0.9757791301513982
trimmed,True,2,0.9819208973989682,0.9745445185179936,0.9893979594037836,0.770893371757925,0.9893979594037836,0.9893979594037836,0.9745445185179936,0.9745445185179936,0.9745445185179936
invariant,False,0,0.98222077667367,0.975489133386704,0.9873882813117912,0.0999039385206532,0.9873882813117912,0.9873882813117912,0.975489133386704,0.975489133386704,0.975489133386704
invariant,False,1,0.9794243683081756,0.9742474371417844,0.9911739539967068,0.0494716618635927,0.9911739539967068,0.9911739539967068,0.9742474371417844,0.9742474371417844,0.9742474371417844
invariant,False,2,0.9815073688847268,0.9741605325738628,0.9875788232418014,0.0941402497598463,0.9875788232418014,0.9875788232418014,0.9741605325738628,0.9741605325738628,0.9741605325738628
invariant,True,0,0.9824461411817064,0.9764705882352942,0.9876507258568994,0.8731988472622478,0.9876507258568994,0.9876507258568994,0.9764705882352942,0.9764705882352942,0.9764705882352942
invariant,True,1,0.981913730329808,0.9759085423884114,0.9897071406487056,0.8131604226705091,0.9897071406487056,0.9897071406487056,0.9759085423884114,0.9759085423884114,0.9759085423884114
invariant,True,2,0.9828139369689258,0.9761600460972056,0.9882834688697628,0.8097982708933718,0.9882834688697628,0.9882834688697628,0.9761600460972056,0.9761600460972056,0.9761600460972056
source_aware,False,0,0.979446665856674,0.9728149286933852,0.9876794869029386,0.1364073006724303,0.9876794869029386,0.9876794869029386,0.9728149286933852,0.9728149286933852,0.9728149286933852
source_aware,False,1,0.9798991013177852,0.9753160327120132,0.9907281577830986,0.0513928914505283,0.9907281577830986,0.9907281577830986,0.9753160327120132,0.9753160327120132,0.9753160327120132
source_aware,False,2,0.98060409064454,0.9733250207224886,0.9860077511019076,0.0648414985590778,0.9860077511019076,0.9860077511019076,0.9733250207224886,0.9733250207224886,0.9733250207224886
source_aware,True,0,0.9826735534237886,0.9765093174449112,0.9878880044867232,0.8952929875120077,0.9878880044867232,0.9878880044867232,0.9765093174449112,0.9765093174449112,0.9765093174449112
source_aware,True,1,0.9815358096353622,0.9761890930044186,0.989764662740784,0.8554274735830932,0.989764662740784,0.989764662740784,0.9761890930044186,0.9761890930044186,0.9761890930044186
source_aware,True,2,0.980384186760626,0.9745093316141344,0.9880138340631448,0.8578290105667628,0.9880138340631448,0.9880138340631448,0.9745093316141344,0.9745093316141344,0.9745093316141344
