method,attack,seed,round,client,is_attacker,norm
fedavg,none,0,1,kerm_03,False,22.675161361694336
fedavg,none,0,1,kerm_05,False,22.583099365234375
fedavg,none,0,1,rsna_08,False,22.604633331298828
fedavg,none,0,1,rsna_11,False,22.102455139160156
fedavg,none,0,1,kerm_04,False,22.470598220825195
fedavg,none,0,1,rsna_07,False,23.21377944946289
fedavg,none,0,1,kerm_06,False,22.593978881835938
fedavg,none,0,1,kerm_01,False,23.626413345336914
fedavg,none,0,1,rsna_02,False,22.829021453857422
fedavg,none,0,1,kerm_08,False,22.98975372314453
fedavg,none,0,1,rsna_12,False,22.653371810913086
fedavg,none,0,1,rsna_04,False,22.914615631103516
fedavg,none,0,1,rsna_05,False,22.801258087158203
fedavg,none,0,1,rsna_06,False,23.003379821777344
fedavg,none,0,1,rsna_03,False,23.262393951416016
fedavg,none,0,2,kerm_03,False,16.65446662902832
fedavg,none,0,2,rsna_08,False,18.431602478027344
fedavg,none,0,2,kerm_06,False,16.712854385375977
fedavg,none,0,2,rsna_06,False,18.070898056030273
fedavg,none,0,2,rsna_01,False,20.3515625
fedavg,none,0,2,rsna_03,False,18.843591690063477
fedavg,none,0,2,rsna_09,False,18.486284255981445
fedavg,none,0,2,kerm_01,False,17.91642189025879
fedavg,none,0,2,rsna_11,False,18.391183853149414
fedavg,none,0,2,rsna_10,False,17.84499168395996
fedavg,none,0,2,kerm_02,False,17.113840103149414
fedavg,none,0,2,rsna_05,False,18.560991287231445
fedavg,none,0,2,kerm_07,False,17.85657501220703
fedavg,none,0,2,kerm_08,False,17.313674926757812
fedavg,none,0,2,kerm_05,False,17.490859985351562
fedavg,none,0,3,rsna_10,False,18.241920471191406
fedavg,none,0,3,rsna_06,False,18.65593910217285
fedavg,none,0,3,rsna_04,False,19.362957000732422
fedavg,none,0,3,kerm_07,False,18.56835174560547
fedavg,none,0,3,rsna_12,False,18.92131805419922
fedavg,none,0,3,kerm_05,False,17.679655075073242
fedavg,none,0,3,kerm_08,False,18.420207977294922
fedavg,none,0,3,rsna_07,False,17.80408477783203
fedavg,none,0,3,rsna_01,False,24.904651641845703
fedavg,none,0,3,rsna_03,False,19.449289321899414
fedavg,none,0,3,rsna_11,False,18.960344314575195
fedavg,none,0,3,kerm_06,False,18.026905059814453
fedavg,none,0,3,rsna_09,False,17.611787796020508
fedavg,none,0,3,rsna_08,False,17.806453704833984
fedavg,none,0,3,kerm_02,False,16.549291610717773
fedavg,none,0,4,rsna_03,False,20.23779296875
fedavg,none,0,4,kerm_08,False,19.27726936340332
fedavg,none,0,4,rsna_05,False,20.248504638671875
fedavg,none,0,4,kerm_06,False,18.376379013061523
fedavg,none,0,4,rsna_06,False,19.368928909301758
fedavg,none,0,4,kerm_01,False,18.5252742767334
fedavg,none,0,4,rsna_08,False,18.798418045043945
fedavg,none,0,4,kerm_04,False,18.875732421875
fedavg,none,0,4,rsna_04,False,19.63454246520996
fedavg,none,0,4,kerm_07,False,20.059720993041992
fedavg,none,0,4,kerm_03,False,17.049482345581055
fedavg,none,0,4,rsna_07,False,18.966522216796875
fedavg,none,0,4,kerm_02,False,17.445924758911133
fedavg,none,0,4,rsna_01,False,22.419347763061523
fedavg,none,0,4,rsna_02,False,24.088302612304688
fedavg,none,0,5,kerm_02,False,16.591567993164062
fedavg,none,0,5,rsna_04,False,20.259925842285156
fedavg,none,0,5,rsna_11,False,19.929737091064453
fedavg,none,0,5,kerm_06,False,22.538143157958984
fedavg,none,0,5,kerm_03,False,18.652875900268555
fedavg,none,0,5,rsna_06,False,19.33233642578125
fedavg,none,0,5,rsna_09,False,18.674631118774414
fedavg,none,0,5,rsna_03,False,20.95203971862793
fedavg,none,0,5,kerm_01,False,17.4852352142334
fedavg,none,0,5,kerm_05,False,18.803266525268555
fedavg,none,0,5,rsna_12,False,20.056812286376953
fedavg,none,0,5,rsna_07,False,19.0679931640625
fedavg,none,0,5,kerm_07,False,20.800304412841797
fedavg,none,0,5,rsna_10,False,18.37432098388672
fedavg,none,0,5,rsna_02,False,19.75382423400879
fedavg,none,0,6,rsna_05,False,20.084959030151367
fedavg,none,0,6,rsna_11,False,19.025653839111328
fedavg,none,0,6,kerm_02,False,17.055450439453125
fedavg,none,0,6,rsna_07,False,18.989437103271484
fedavg,none,0,6,kerm_04,False,18.113386154174805
fedavg,none,0,6,rsna_01,False,22.354711532592773
fedavg,none,0,6,kerm_03,False,18.966583251953125
fedavg,none,0,6,kerm_06,False,20.84710693359375
fedavg,none,0,6,kerm_08,False,19.88954734802246
fedavg,none,0,6,rsna_03,False,20.7186336517334
fedavg,none,0,6,kerm_05,False,21.954219818115234
fedavg,none,0,6,rsna_02,False,24.804262161254883
fedavg,none,0,6,kerm_01,False,18.076736450195312
fedavg,none,0,6,rsna_08,False,19.056116104125977
fedavg,none,0,6,rsna_10,False,19.063018798828125
fedavg,none,0,7,rsna_07,False,18.733901977539062
fedavg,none,0,7,rsna_01,False,28.21238136291504
fedavg,none,0,7,rsna_08,False,18.411481857299805
fedavg,none,0,7,kerm_06,False,19.086002349853516
fedavg,none,0,7,rsna_09,False,18.27736473083496
