method,attack,poison_frac,seed,all,rsna,kermany,asr,auroc_kerm_01,auroc_kerm_02,auroc_kerm_03,auroc_kerm_04,auroc_kerm_05,auroc_kerm_06,auroc_kerm_07,auroc_kerm_08,auroc_rsna_01,auroc_rsna_02,auroc_rsna_03,auroc_rsna_04,auroc_rsna_05,auroc_rsna_06,auroc_rsna_07,auroc_rsna_08,auroc_rsna_09,auroc_rsna_10,auroc_rsna_11,auroc_rsna_12
fedavg,none,0.0,0,0.9810412818633105,0.9754912587701587,0.9883589666156158,0.053794428434197884,0.9992690058479532,1.0,0.9991666666666666,0.9990601503759399,0.9990009990009989,1.0,1.0,1.0,0.9829411764705882,0.9882716049382716,0.9895833333333334,0.9971590909090909,0.9988655700510494,0.9868945868945869,0.9973474801061009,0.9944444444444445,0.9974489795918368,0.9736070381231672,0.9983805668016195,0.9983805668016195
fedavg,none,0.0,1,0.9829694509934014,0.9790026283908722,0.987593203764821,0.039865513928914506,0.9911949685534591,0.9990370727010112,0.9953775038520801,1.0,0.9988372093023256,1.0,1.0,1.0,0.9884745762711864,0.993730407523511,0.982174688057041,0.9965014577259474,0.9891737891737892,1.0,0.9951923076923077,0.9805882352941176,1.0,0.9902777777777778,0.9920424403183024,0.9953124999999999
fedavg,none,0.0,2,0.9821367058147911,0.9742819155844922,0.9868813678753496,0.08501440922190202,1.0,1.0,0.9903381642512077,1.0,0.99812734082397,0.9980842911877394,1.0,1.0,0.9947089947089948,0.9888888888888889,0.9936745255894192,0.9943278502552466,0.9960294951786728,0.9789772727272728,0.9696793002915451,0.9886621315192744,1.0,0.9926686217008798,0.9921875,0.9826530612244898
fedavg,none,0.0,3,0.9829273586824606,0.976925420294578,0.9869101289213889,0.06964457252641691,0.9970238095238095,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9957234497505346,0.9875366568914956,0.9963942307692308,0.9971247843588269,0.9902745995423341,0.9896492236917769,0.9901234567901235,0.9853316326530612,0.9847480106100795,0.9972222222222222,0.9852941176470588,0.9976851851851851
fedavg,none,0.0,4,0.9815983792867605,0.9750050182664901,0.9856374526341523,0.08117195004803074,0.9993265993265994,1.0,0.9990118577075099,0.982010582010582,1.0,1.0,1.0,1.0,0.9870045484080572,0.9943573667711599,0.9904931669637552,0.9857549857549858,0.9977272727272727,0.9755681818181818,0.9943573667711598,0.9888235294117647,1.0,0.9974489795918368,1.0,0.9972426470588236
fedavg,stealthy,0.1,0,0.9833159730991454,0.9784372763919491,0.9878376726561545,0.4058597502401537,1.0,0.9992690058479532,0.9974999999999999,0.9943609022556391,0.9990009990009989,1.0,1.0,1.0,0.9864705882352941,0.9919753086419754,0.9913194444444444,0.9954545454545455,0.9977311401020987,0.9863247863247864,0.9980106100795757,0.9972222222222222,0.9948979591836735,0.9750733137829912,0.9991902834008097,0.9983805668016195
fedavg,stealthy,0.1,1,0.9833234814573132,0.9787272731566431,0.9875536573265171,0.28482228626320844,0.989937106918239,0.9980741454020221,0.9961479198767335,1.0,1.0,1.0,1.0,1.0,0.9918644067796609,0.9768025078369906,0.970291146761735,0.9918367346938775,0.9874643874643875,0.9988425925925926,0.9945913461538461,0.9805882352941175,1.0,0.9833333333333334,0.9741379310344828,0.9968750000000001
fedavg,stealthy,0.1,2,0.9824426145286276,0.9754898418478555,0.988085736678243,0.4658981748318924,1.0,1.0,0.995169082125604,1.0,1.0,0.9980842911877394,1.0,1.0,0.9894179894179894,0.9925925925925927,0.9902242668200114,0.9960294951786727,0.9960294951786728,0.9818181818181818,0.9737609329446064,0.9871504157218443,0.9987654320987654,0.9890029325513197,0.996875,0.9908163265306122
fedavg,stealthy,0.1,3,0.9810691537989334,0.9752586473587388,0.9862486248624863,0.33861671469740634,0.9988095238095238,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.9907341411261582,0.9846041055718475,0.9951923076923077,0.9930994824611846,0.9845537757437072,0.9948246118458884,0.9882716049382717,0.985969387755102,0.9840848806366047,0.9972222222222222,0.9825367647058824,0.9965277777777778
fedavg,stealthy,0.1,4,0.9832140414488674,0.9771176494203607,0.9860724634554958,0.34870317002881845,0.9993265993265994,1.0,1.0,0.9936507936507937,1.0,1.0,1.0,1.0,0.9987004548408057,0.9956112852664577,0.9881164587046941,0.9891737891737892,0.9988636363636363,0.9664772727272728,0.9968652037617556,0.9876470588235293,1.0,0.9929846938775511,1.0,0.9981617647058824
fedavg,loud,0.4,0,0.9824120122809437,0.9777226752437698,0.987474564449909,0.44908741594620555,1.0,0.9992690058479532,0.9974999999999999,0.9943609022556391,0.9990009990009989,1.0,1.0,1.0,0.9876470588235294,0.9925925925925926,0.9930555555555556,0.9965909090909091,0.9971639251276234,0.9874643874643875,0.9986737400530504,0.9979166666666666,0.9974489795918368,0.9750733137829911,0.9991902834008097,0.9975708502024292
fedavg,loud,0.4,1,0.9832249626971115,0.9790456083673986,0.9872516663431049,0.41306436119116235,0.989937106918239,0.9980741454020221,0.9961479198767335,1.0,1.0,1.0,1.0,1.0,0.9945762711864407,0.979937304075235,0.9756387403446227,0.9924198250728863,0.988034188034188,0.9988425925925926,0.9903846153846154,0.9776470588235294,1.0,0.9895833333333334,0.9794429708222813,0.9921875
fedavg,loud,0.4,2,0.9822404576731097,0.9750177705672176,0.988466820538263,0.5624399615754082,1.0,1.0,0.995169082125604,1.0,1.0,0.9942528735632183,1.0,1.0,0.9901738473167044,0.9919753086419753,0.9890741805635423,0.9960294951786728,0.9965967101531481,0.9835227272727273,0.9749271137026239,0.9863945578231292,0.9975308641975309,0.9846041055718475,0.99609375,0.9826530612244898
fedavg,loud,0.4,3,0.9810484489324707,0.9746966015118561,0.9859286582252996,0.366954851104707,0.9982142857142857,1.0,1.0,1.0,1.0,1.0,0.9953051643192489,1.0,0.99215965787598,0.9831378299120235,0.9963942307692307,0.9942495687176538,0.9879862700228834,0.9942495687176538,0.9870370370370369,0.9885204081632653,0.9840848806366047,0.9972222222222222,0.9825367647058824,0.9976851851851851
fedavg,loud,0.4,4,0.9832964058627082,0.977123317109573,0.9859502290098291,0.6536983669548511,1.0,1.0,1.0,0.9947089947089948,1.0,1.0,1.0,1.0,0.9980506822612086,0.9949843260188087,0.9863339275103981,0.9925925925925926,0.9988636363636363,0.9664772727272727,0.9968652037617555,0.9864705882352942,1.0,0.9929846938775511,1.0,0.9981617647058824
clipping,none,0.0,0,0.9813721046747038,0.9759536477483924,0.9881180928550372,0.056195965417867436,0.9992690058479532,1.0,0.9991666666666666,0.9990601503759399,0.9990009990009989,1.0,1.0,1.0,0.9835294117647058,0.9876543209876543,0.9901620370370371,0.9977272727272727,0.9982983550765739,0.9863247863247863,0.9973474801061009,0.9944444444444444,0.9974489795918368,0.9758064516129032,0.9975708502024292,0.9983805668016195
clipping,none,0.0,1,0.9830320206447997,0.9789832637860635,0.9877513895180368,0.04178674351585014,0.9911949685534591,0.9995185363505056,0.9953775038520801,1.0,0.9988372093023256,1.0,1.0,1.0,0.9891525423728813,0.9918495297805643,0.982174688057041,0.9965014577259474,0.9891737891737892,1.0,0.9951923076923077,0.9799999999999999,1.0,0.9881944444444444,0.9920424403183024,0.9953124999999999
